NO,AUTHOR,TEXT,DATE,TIME,REF
3,Alex(Tutor),joins the room,19 . 01 . 2011,02.16.21,
4,s072,joins the room,19 . 01 . 2011,02.17.37,
5,s077,joins the room,19 . 01 . 2011,02.17.40,
6,s067,joins the room,19 . 01 . 2011,02.17.43,
7,Alex(Tutor),"Hi all! Today, each of you will be both the instructor and the student. Each of you will be responsible for looking for opportunities for a specific discussion strategy to be used in the conversation.",19 . 01 . 2011,02.17.53,
8,Alex(Tutor),Lets get started by introducing ourselves. I am Alex.,19 . 01 . 2011,02.17.58,
9,s072,hello,19 . 01 . 2011,02.18.06,
10,s077,who is this,19 . 01 . 2011,02.18.17,
11,s072,jakayla,19 . 01 . 2011,02.18.22,
12,s077,sharonda,19 . 01 . 2011,02.18.29,
13,Alex(Tutor),"Hi Jakayla you are the Revoicer. When an explanation or idea is given which would benefit from revoicing, please encourage one of your team mates to do so, for example, by asking them to explain what was said in their own words.",19 . 01 . 2011,02.18.30,
14,s067,wat group are i in,19 . 01 . 2011,02.18.52,
15,Alex(Tutor),"s077,s067... i didn't get your names yet.",19 . 01 . 2011,02.18.57,
16,s072,who else is here,19 . 01 . 2011,02.19.06,
17,Alex(Tutor),"S077, you are the Challenger. When you see a statement being made (whether it is right or wrong) which would benefit from being challenged, please encourage one of your team mates to do so, for example, by asking them whether they agree or disagree with what was said, and why.",19 . 01 . 2011,02.19.09,
18,Alex(Tutor),"Ok... So the Explainer is S067. When you see a place where it would be good to get more explanation, you can encourage one of your team mates to do that, for example, by inviting that person to add on to what the other student has already said.",19 . 01 . 2011,02.19.17,
19,s077,whois this,19 . 01 . 2011,02.19.21,
20,Alex(Tutor),"You should probably all mark an X opposite your role in the book, so you won't forget.",19 . 01 . 2011,02.19.22,
21,s067,jim and bob,19 . 01 . 2011,02.19.24,
22,Alex(Tutor),Its nice to meet you all. :) Please make sure you have understood what you are responsible for.,19 . 01 . 2011,02.19.29,
23,s072,jakayla,19 . 01 . 2011,02.19.35,
24,Alex(Tutor),"In condition A, we placed a glucose solution inside the cell model and immerse it in distilled water. In condition B, we did the opposite.",19 . 01 . 2011,02.19.52,
25,Alex(Tutor),Please discuss what you predict will happen in these two conditions.,19 . 01 . 2011,02.19.58,
26,s067,wat up wolf its tim,19 . 01 . 2011,02.20.06,
27,Alex(Tutor),"@S077, can you check if Jakayla agrees with S067.",19 . 01 . 2011,02.20.11,
28,s067,wat wit u jakayla,19 . 01 . 2011,02.20.41,
29,s077,whos s067,19 . 01 . 2011,02.20.52,
30,s077,,19 . 01 . 2011,02.21.02,
31,s077,,19 . 01 . 2011,02.21.10,
32,s067,wat u doing,19 . 01 . 2011,02.21.21,
33,s072,what yue tink are the prediction tim and sharhonda,19 . 01 . 2011,02.21.54,
34,s077,nothing where supposedto be talkinaboutan egg,19 . 01 . 2011,02.21.58,
35,s067,gz dat was not me,19 . 01 . 2011,02.22.14,
36,s077,l,19 . 01 . 2011,02.22.19,"Reference to message No. 31 (Text: "" "")Ê"
37,s067,how ya guys doing,19 . 01 . 2011,02.22.45,
38,s077,he,19 . 01 . 2011,02.22.49,
39,s077,,19 . 01 . 2011,02.22.50,
40,s077,,19 . 01 . 2011,02.22.50,
41,s077,,19 . 01 . 2011,02.22.50,
42,s077,,19 . 01 . 2011,02.22.50,
43,s077,,19 . 01 . 2011,02.22.50,
44,s077,,19 . 01 . 2011,02.22.50,
45,s077,,19 . 01 . 2011,02.22.50,
46,s077,,19 . 01 . 2011,02.22.50,
47,s077,,19 . 01 . 2011,02.22.50,
48,Alex(Tutor),"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",19 . 01 . 2011,02.22.55,
49,s067,,19 . 01 . 2011,02.23.00,
50,s067,,19 . 01 . 2011,02.23.00,
51,s067,,19 . 01 . 2011,02.23.00,
52,s067,,19 . 01 . 2011,02.23.00,
53,s067,,19 . 01 . 2011,02.23.00,
54,s067,,19 . 01 . 2011,02.23.00,
