2022-04-16,15:58:47,0,FCDS OPE,1650139127831,Hi! We will start soon.,GREET_AND_WAIT
2022-04-16,15:59:08,0,FCDS OPE,1650139149916,Welcome! I'm FCDS.,INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,20:34:16,0,FCDS OPE,1650155657672,"Before starting please make sure you have attempted the pre-quiz. You'll get credit just for submitting it. Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh yes",PROMPT_LO1_INTRODUCTION
2022-04-16,20:34:16,0,FCDS OPE,1650155662698,"sh env_setup_oneshot.sh""",PROMPT_LO1_INTRODUCTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,21:20:21,0,FCDS OPE,1650158422548,"Before starting please make sure you have attempted the pre-quiz. \nYou'll get credit just for submitting it. 
        Have ONLY ONE PERSON run this init script to set up the environment - ""wget https://clouddatascience.blob.core.windows.net/ope-evaluation-optimization/sail/v1/env_setup_oneshot.sh yes \\",PROMPT_LO1_INTRODUCTION
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,21:24:24,0,FCDS OPE,1650158666388,"The new roles are -
carbon dioxide - S002",PROMPT_STEP_MATCH
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2022-04-16,21:27:42,0,FCDS OPE,1650158863855,"The new roles are -
fossil fuels - S002",PROMPT_STEP_MATCH
2022-04-16,21:28:14,0,FCDS OPE,1650158895938,"First, click on the words ""Temperature Change Data"" at the upper left. Examine the graph and take about 5 minutes to discuss as a team.",PROMPT_STEP_TEMPERATURE_CHANGE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
