Class,text
forsale,                      Moto 56001 DSP          Megapixel (perfect - no dimming or shaking)          keyboard/mouse (of course :)          2.1 installed         2.1 docs             Network and System Administration             User s Reference             Applications          The NeXT Book  by Bruce Webster (New Copy)          Black NeXTconnection modem cable         30 HD disks (10 still in unwrapped box  others for backing up             apps)  I NEED to sell this pronto to get a car (my engine locked up)! Machine runs great... only used in my house.  Has been covered when not in use on the days I wasn t around.  $2 300 INCLUDING Federal Express Second Day Air  OR best offer  COD to your doorstep (within continental US)!!  I need to sell this NOW  so if you don t agree with the price  make an offer  but within reason.  )  Thanks  JT  (please no letters asking me to donate for a tax break)
windows,              Does anyone know of an ftp site where I can get pkunzip2.04g from.     I tried using archie with no such luck.  This version of pkunzip is suppose     to correct some promblems when using pkunzip within windows.  Thanks in     advance!  :-)       you can get pk.... from ftp.cica.indiana.edu  
forsale,           sci-fi  and  fantasy artwork by many masters.  All are            mint with the exception of the 3 that have split  seam            on  the  cover  only but are otherwise perfect  no cut            outs or missing pages.  I have Sep  Nov and Dec issues            for 1978  ALL issues for 1979  1980  1981  1982   1983            and  Jan  thru  Sep  for  1984  (72  issues  in  all i            believe).  I will not break  them  up.  They  will  be            sold  as  a  single  lot.  Send  your  offers  to  me.            Shipping not included   these  are  pretty  heavy.  Of            course  if  you are local (Mass  USA) you can come get             em in person.                         arthur_noguerola@vos.stratus.com   
forsale,           you can come get  em  in  person.  All  are  in  GREAT            condition!!  These  will  go  as  one lot.  I will not            break them up.                  Metronome   -  Sep  1947  Feb  1948  June 1948                                 Nov  1950  Dec  1950  June 1952                                Nov  1953                  Downbeat    -  Jan 15 1947 (was newspaper sized..folded)                                Jan 18 1962  Feb 15 1962  Dec 19 1963                                 Mar 12 1964  Apr  9 1964  May  7 1964                                 May 21 1964  Jun  4 1964  Jul 16 1964                                 Sep 10 1964  Dec 17 1964  Dec 31 1964                                 Aug 26 1965  Oct  7 1965  Oct 21 1965                                 Dec 16 1965  Dec 30 1965  Jan 13 1966                                 Apr 21 1966  Jul 28 1966  Sep  8 1966                                 Dec 29 1966  Feb  9 1967  Feb 23 1967                                 Jun 15 1967  Nov 15 1967  Apr  4 1968                                 Aug  8 1968  Sep  5 1968  Oct  3 1968                                 Oct 31 1968  Feb  6 1969  Mar  6 1969                                 May 15 1969  Jun 12 1969  Jul 10 1969                                 Jul 24 1969  Aug 21 1969  Sep  4 1969                                 Dec  2 1969  May 14 1970  May 28 1970                                 Jun 11 1970  Jun 25 1970  Jul  9 1970                                 Aug 19 1971  Mar 15 1973  Mar 29 1973                                 May 10 1973  May 24 1973  Nov 1985                  Also  I  will  toss in (free):                             Jazz Journal (Feb 1979 Apr 1979) and                            CODA Magazine (Jun 1985  Dec 1985)                          arthur_noguerola@vos.stratus.com   
forsale,          --hotels are selected from major hotel chains and family resorts           --two adults and up to three children           --fully transferable           --expires at 09/93  $20 for extention of one more year           --it needs a 45 days advance reservation (esp. for peak season)            the reservation department will offer a coupon book which may           give you saving up to $150.          --price: I bought it for $199  which is a good deal for peak           seasons. For now  I will not turn down any reasonable offers.           must sell.  It doesn t include transportation. And you have to pay $3/day for hotel tax.  Please e-mail your respond.
forsale,"          I have the 660Mb SCSI-1 disk drive currently used for my Mac      but it can be use for PC also. In good condition   rarely use and     no bad track  5.25  Full high  fast and quiet for sale $650 plus     shipping (out of SF bay area). And here s spec.: 	 Model 97548 made by HP 790Mb(Unformatted)  seek time 16.5 ms      average 150 000 hours MTBF  16 heads.      If you re interest please drop me a email.             "
forsale,          Total storage space comes out to be about 750 MB.  6 cartridges still in     original shrinkwrapping  unused.  Note:  this is NOT compatible with     SysQuest 45 cartridges.          SCSI interface required... plugs right into the back of Macintoshes      but I don t have a controller for the IBM.  All utilities I have for it     are for the Mac.  If you have a Mac  then this is for you!  I have a     ton of software on these disks that I don t use anymore  because I sold     my mac system.  Stuff included:  Most of the PD stuff from info-mac     site  LOTS of GIF s  and LOTS of sound effects.  (1 entire disk with     just sounds)         I am asking $900 for all  plus shipping.      For more information  send me mail (cxs2341@ultb.isc.rit.edu) or call     (716) 427-0701... ask for Sawran          cheers          chris     cxs2341@ultb.isc.rit.edu     cxs2341@ritvax.isc.rit.edu
religion,       refrained from killing because he remembered the commandment.    No  for the excellent reason that there IS no such commandment.    Aside from that  please note that the Abrahamic literary tradition   is strong on narrative  light on dialog  and virtually nonexistent   w/r/t introspection.  --- D. C. Sessions                            Speaking for myself --- --- Note new network address:                dcs@witsend.tnet.com --- --- Author (and everything else!) of TMail  (DOS mail/news shell) ---
forsale,       Sony D-22 portable Diskman forsale              Good condition  flawless.              Costomer AC adapter : 6v DC power supply ( tested 9v DC)                * The factory adapter was tested 12v DC (AC 110v input) at the           time I bought it three years ago. When using it  a lot of heat           was generated inside the CD machine. Of course I wouldn t use           it to risk this baby s life. Maybe that s why so many owners           always complain about their portable machine going kaput after           a short time usage.          * 9v DC factory suggested              LED display         asking $ 55  plus shipping  contact Harry if interested
forsale,"     ~~~~~~~~~~FOR SALE as of 5PM 4/02/93~~~~~~~~~~     1       AMIGA 3000UX    25mhz  unix compatible machine w/100 meg Hard 		   Drive  4 meg RAM  no monitor  keyboard (ESC and ~ keys  		   broken) 		   ASKING PRICE:   $1700 OBO.  Mind my asking why you re selling a used machine with a damaged keyboard for the about the same price as a brand new A4000/030 (A4000-EC030/4 megs/120meg IDE HD/HD Floppy/v3.0 OS - $1899)?  I d like to get an A3000 locally for something reasonable like less than 1K without monitor.  Brand new the A3000-25mhz/50 meg HD/HD floppy/2.1 ROM isn t running for more than $1400 or so.  Considering it s damaged  probabably has a real old version of the OS I ll offer $700.  Don t laugh...my A2000 isn t worth more than $250-$300 these days.  N. Tzeng -- Nigel Tzeng .sig under construction"
