DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,NUDGEABLE,HELP_REQUEST,NUDGEABLE_INDICATOR,POSITIVITY,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,ABUSE,TEASING,MOLECULE_SIZE,GROUP_BONDING,NUDGEABLE_MOLECULE_SIZE
01.01.1970,08.08.37,422CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.08.54,403CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.00,433CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.17,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.24,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.08,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.22,403CS1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.24,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.51,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.04,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.11,403CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.26,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.59,403CS1,what r we doing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.12.34,433CS1,water,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.43,403CS1,?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.12.49,433CS1,water,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.56,403CS1,ur stupid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
01.01.1970,08.12.58,433CS1,more water,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.13.03,403CS1,:),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.13.05,422CS1,we are discussing the observations i think.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.13.17,403CS1,how,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.14.05,433CS1,whats up,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.14.51,403CS1,it changed becouse the tube obsorbed the iodine,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
01.01.1970,19.34.32,TUTOR,So is 403CS1 saying ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.02,403CS1,the outside collor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.04,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.22,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.25,433CS1,okie dokie,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.15.53,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.45,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.49,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.03,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.16,403CS1,its saing that startch has surger molacules in it and iodian dosent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.27,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.28,403CS1,when the iodine is mixed with startch the is alot of surger in it,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.32,TUTOR,Talk a little more about how we use indicators...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.18.56,403CS1,well if my team helped me,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
01.01.1970,08.18.58,433CS1,as the glucose sat in the water it absorbed the glucose and weighed more,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
01.01.1970,08.19.02,TUTOR,I'd love to hear more from 422CS1...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.20.05,422CS1,im looking at the first one. mine never changed.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.20.38,433CS1,"after many hours, the weight increased",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,08.20.39,422CS1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,19.34.32,TUTOR,Would that be the same as saying ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.04,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.10,403CS1,iodian has no surger in it but startch does and when it absorbes the iodian ther is more glucose in,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
01.01.1970,08.21.26,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.39,433CS1,the glucose increased,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.21.50,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.22.44,433CS1,"the glucose will increase, and definetly weigh more",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
01.01.1970,19.34.32,TUTOR,Would another way to say that be ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.23.08,403CS1,when the iodian mixed with the watwer the glucose left the tube do u understand what im trying to say,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,08.23.57,433CS1,it turns yellow when theres glucose in it,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,19.34.32,TUTOR,Would that be the same as saying ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
