DATE,TIME,AUTHOR,TEXT,NONE,REVOICABLE,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE,HELP_REQUEST,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,SMILES,FEEDBACKABLE_EXPLANATION
01.01.1970,08.08.48,418CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.21,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.33,421CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.50,427CS1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.09.56,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.07,418CS1,heyy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.21,421CS1,Hiiii my name is autumn,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,08.10.30,427CS1,BRIGID :D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.41,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.10.52,421CS1,okay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,08.10.56,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.23,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.36,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.11.58,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.12.52,427CS1,hmmmmm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.13.33,421CS1,"I think these changes happened over time due to the wall, or the bag thingy, becoming week. The substance inside slowly leeked out into the enviroment and changed the color..",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.13.38,427CS1,it looks like the iodine's color is fading and its starting to weigh less,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,08.14.24,421CS1,& thats why the tube bag thingy weighs less,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
01.01.1970,08.14.44,427CS1,agreed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.31,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.15.43,418CS1,okay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,08.15.55,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.16.05,427CS1,okay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,08.16.25,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,08.17.18,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
