DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,HELP_REQUEST,FEEDBACKABLE,GIVING_OPINION,SCIENCE,POSITIVITY,QUESTION,NEGATIVE,AFFIRMATIVE,EXPLANATION_CONTRIBUTION,ABUSE,SILLYNESS,FEEDBACKABLE_EXPLANATION
01.01.1970,00.41.56,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.41.56,0,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.01,0,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.19,457CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.49,450CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.49,458CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.55,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.36,457CS7,HI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.39,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.55,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.01,458CS7,HELLO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.07,457CS7,anybody?????????????,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,00.44.07,457CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.08,457CS7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.14,450CS7,hi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.22,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.35,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.43,457CS7,563CN7(jj) moneybags in the hizouse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.53,450CS7,mark look at me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.57,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.45.56,457CS7,hahahahaha jordanBACKSLASH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
