DATE,TIME,AUTHOR,TEXT,NONE,REVOICABLE,INDICATOR,GIVING_OPINION,SCIENCE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,ABUSE,SMILES,CHALLENGE_CONTRIBUTION,FEEDBACKABLE_EXPLANATION
01.01.1970,00.41.57,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.32,434CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.34,444CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.48,443CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.53,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.23,444CS7,My name is obivously Mark G.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.43.25,443CS7,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.36,443CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.38,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.54,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.21,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.33,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.56,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.45.15,443CS7,Waz good my homies,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,00.45.18,TUTOR,:-),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.08,443CS7,Kail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.16,434CS7,Edward,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.32,443CS7,Da hell we do,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.41,434CS7,i have no clue,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.46.45,444CS7,because the iodine was in the pack and the starch was in the water,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
01.01.1970,00.48.12,443CS7,the changed cuz da iodine and water was all like we should go chill with da starch water,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
01.01.1970,00.48.26,444CS7,wow Ed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.28,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.41,443CS7,#swag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.45,434CS7,(:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.48.52,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.05,443CS7,ight,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.49.23,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.01,444CS7,stuff turns to green in one and purple in another,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.15,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.19,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.33,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.50.57,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.34,443CS7,da distilled water wants to chill with the glucose solution,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.51.52,443CS7,Mark your weird,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.52.52,443CS7,Kail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
