DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,PREDICTION_CONTRIBUTION,SCIENCE,EXPLANATION_CONTRIBUTION,SILLYNESS,FEEDBACKABLE_EXPLANATION_REQUEST,EXPLANATION_REQUEST,FEEDBACKABLE,HELP_REQUEST,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,FEEDBACKABLE_REQUEST,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,TEASING,FEEDBACKABLE_EXPLANATION
01.01.1970,00.42.01,446CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.11,448CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.42.55,452CS7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.11,446CS7,hi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.19,452CS7,Hi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.29,446CS7,i got lost,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.34,452CS7,how?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,00.43.49,446CS7,they said libary so i went there,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.52,448CS7,wow 446CS7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.43.55,452CS7,ahahah,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.01,448CS7,we told you to come here,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.07,446CS7,i almost didnt come,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.13,452CS7,i wuldnt of,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.51,448CS7,i dont know what to do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
