DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,TUTOR_REFERENCE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,GROUP_BONDING,FEEDBACKABLE_EXPLANATION
01.01.1970,02.14.29,.,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.16.30,466CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.03,488CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.12,.,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.29,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.39,473CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.45,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.06,473CS9,amandalalalalalala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.29,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.38,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.12,488CS9,adrianalalala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.18,473CS9,yaaay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.37,488CS9,haha what are we suppost to be doing?,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.19.38,473CS9,amonalonalon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.43,473CS9,and Idfk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.56,466CS9,hi EVeryone :},1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.58,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.04,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.18,473CS9,you gon' Learn today .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.26,466CS9,Yea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.31,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.41,466CS9,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.20.44,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.21.06,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.21.23,473CS9,alright alriiiiiiiiiiiight alright !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.21.31,466CS9,Cuz u reversed the process,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.08,488CS9,because you put in the starch and water?,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
01.01.1970,02.22.11,466CS9,Come on guys anwser,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.12,TUTOR,"Keep on explaining, 488CS9.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.13,466CS9,or,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.26,473CS9,because.............its in some water,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.55,466CS9,AMANDA UR TURN!!!!!!!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.23.02,488CS9,it changed colors because the lodine and water had a reaction to the starch and water?,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
01.01.1970,02.23.06,TUTOR,It's nice that you're explaining your reasoning.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.23.23,473CS9,"tutor, you're so smart.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.23.24,TUTOR,I'd love to hear more from 488CS9...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.23.53,488CS9,idk what else to say haha,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.24.25,473CS9,the water doesn't like starch?,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
01.01.1970,02.24.26,466CS9,The starch got into the bag and mixed with the iodine,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.30,TUTOR,Can you say more about how we use indicators?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.39,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.51,466CS9,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.25.02,473CS9,alright alright alriiiiiiiiiiight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.25.02,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.18,466CS9,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.25.26,473CS9,what?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.25.33,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.09,466CS9,glucose is lighter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.25,466CS9,the starch is heavier,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.25,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.29,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.31,473CS9,they're.......different . Um glucose is a simple molucule and starch isn't?,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.26.43,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.54,466CS9,yea we can,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.27.07,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
