DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,DISCONTENT,SCIENCE,EXPLANATION_CONTRIBUTION,SILLYNESS,FEEDBACKABLE,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,GIVING_OPINION,AFFIRMATIVE,REVOICABLE,GROUP_BONDING,FEEDBACKABLE_EXPLANATION
01.01.1970,02.16.35,471CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.16.39,463CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.01,485CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.30,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.36,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.06,463CS9,"Uh... hi, I am Nick~ ;D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.18.21,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.26,471CS9,hi im kelly (:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.34,485CS9,I'm Bobby! :),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.37,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.42,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.42,471CS9,hi bobby(:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.59,485CS9,Hi Kelly! :),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.10,471CS9,why did sage leave?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,02.19.15,463CS9,He left... he found me annoying. -___-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.27,471CS9,awe )':,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.39,463CS9,lol :P,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.43,471CS9,lol,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.56,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.03,471CS9,hi(:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.06,485CS9,If you think I'm amazing say I!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.10,471CS9,i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.11,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.13,463CS9,Oooooh a picture,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.17,471CS9,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.20.24,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.39,485CS9,Thank you Kelly.! :D More pictures!,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.46,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.55,471CS9,(: anytime anytime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.21.12,471CS9,the iodine detected starch,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,02.21.33,485CS9,Kelly took my answer.. :/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.21.38,463CS9,I believe the iodine came in contact with the starch.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,02.21.40,471CS9,sorry):,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.21.48,471CS9,nick sounds all smart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.21.53,485CS9,All good.! :),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,02.22.15,463CS9,Eeeeeyup xD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.40,485CS9,"Once upon a time, there was a ginger named courtney..",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.22.56,463CS9,Lol,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.23.06,471CS9,ahaha she lived in a world with no other gingers except angie(:,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.23.28,485CS9,But in Courtney's eyes angie was a LAME!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,02.23.42,471CS9,angies not a lame!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.23.58,485CS9,I know. Shes blue! <3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.09,471CS9,shes not a smurff?,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
01.01.1970,02.24.10,463CS9,xD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.18,485CS9,Says you..,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.19,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.30,471CS9,okay thats cool(:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.24.37,463CS9,kk~,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.38,485CS9,Okay sir!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.24.43,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.43,485CS9,Kelly!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.49,485CS9,Kelly!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.53,471CS9,what?!,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,02.25.00,485CS9,Hi. :). hehe,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.07,471CS9,haha hi(:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.13,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.27,463CS9,I have a feeling the Sage is a bot or something... not a real person...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.25.47,471CS9,glucose molecules are less dense than starch molecules,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.02,485CS9,Starch molecules are fat.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.06,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.09,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.24,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.48,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.27.00,485CS9,"Kelly, am I taller than you? because you were always taller by an inch back in the day.",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
01.01.1970,02.27.44,471CS9,"in the first one there was no glucose, in the second one there is little glucose and in the last one there was a lot",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,02.27.52,463CS9,um... I'm thinking... but Im not sure,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
01.01.1970,02.28.01,471CS9,and bobby i think we are almost the same height!,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
01.01.1970,02.28.50,485CS9,agreed. Kelly stole my answer again. And We are the same height because we're awesome.,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
01.01.1970,02.29.16,471CS9,or over time it changed the color of the strip so the glucose could seep out,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,02.29.25,471CS9,oh you know it(:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.29.36,485CS9,yup :),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.29.59,471CS9,(: yay!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01.01.1970,02.30.13,485CS9,:) yipee. lol,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.25,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.26,463CS9,Hmm... I agree with Kelly~ I couldn't think of any other way to put it. :P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.46,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.30.51,471CS9,thats cause im smart(:,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.31.05,485CS9,yes kelly we know. :),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.31.10,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.31.51,485CS9,Okay so predictions for Strip color inside:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.32.01,485CS9,Strip color outside;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.32.05,471CS9,inside what the bag?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
06.03.2012,18.39.50,463CS9,I think the water would ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,02.32.54,463CS9,"Sort of when ice melts in soda, it waters it down... getting rid of the sweet sugary taste.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,02.32.59,471CS9,oh i think the strip color inside will turn light green and the strip outside will turn lighter to a yellow like nick said,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
01.01.1970,02.33.14,485CS9,:0 nick your brilliant!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.24,471CS9,right!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.31,463CS9,Thank you. ^_^,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.33.56,471CS9,ok i agree with what nick said. do we all agree with the colors that i said?,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
01.01.1970,02.34.12,485CS9,I do.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.34.17,463CS9,Eeeeyup,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.34.20,471CS9,or do you think the colors will be different? im not 100% sure,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
01.01.1970,02.34.46,485CS9,"No, I think your prediction sounds accurate.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
01.01.1970,02.34.48,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.34.54,471CS9,mkay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.04,471CS9,what about the weight?,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
01.01.1970,02.35.13,463CS9,So... does someone want to sum it all up?,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
01.01.1970,02.35.21,485CS9,About to ask the same thing..,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.24,463CS9,"Oh, I think the weight will be lighter than the original",0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
01.01.1970,02.35.32,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.35.39,463CS9,Since water is less dense than glucose,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
01.01.1970,02.35.56,485CS9,But What exact weight>,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
01.01.1970,02.36.10,463CS9,wait no... I'm not sure about that... :l,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
01.01.1970,02.36.58,471CS9,it would be less dense after the glucose so i think it would be about .50g?,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
01.01.1970,02.37.14,485CS9,Sounds right.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.37.21,471CS9,mkay.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.37.27,463CS9,Sounds pretty accurate...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.37.38,471CS9,yay! good job team(:,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
01.01.1970,02.37.50,485CS9,Team Shhwag. <3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.38.12,471CS9,#teampink!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.38.15,463CS9,lol. what do we put for Strip Color inside and Strip Color Outside?,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,02.38.28,471CS9,strip color inside:light green,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.38.36,471CS9,strip color outside:yellow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.38.44,463CS9,K thanks~,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.38.47,471CS9,yupp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.39.00,463CS9,waaaaait,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.39.20,463CS9,the glucose is outside... meaning it would be darker on the outside,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.39.34,463CS9,so wouldn't it be lighter on the inside?,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,02.39.36,471CS9,idk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.39.48,471CS9,idk?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,02.39.50,485CS9,Lets stick with what we have.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
01.01.1970,02.39.54,471CS9,mkay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.40.00,463CS9,Okay... :P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.40.14,471CS9,bye guys(:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.40.17,485CS9,On the other hand Kelly never texts me. so mean!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.40.18,463CS9,bye,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.40.20,463CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.41.05,485CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.41.30,471CS9,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,04.58.50,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
