DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,QUESTION,REVOICE_CONTRIBUTION,EXPLANATION_CONTRIBUTION,SILLYNESS,FEEDBACKABLE,HELP_REQUEST,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,TEASING,NEGATIVE,AFFIRMATIVE,REVOICABLE,ABUSE,SCIENCE,FEEDBACKABLE_EXPLANATION
01.01.1970,02.16.35,469CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.16.35,486CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.16.36,476CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.32,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.40,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.40,486CS9,Hi sarah!!!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.46,469CS9,HI!!!!!!!!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.55,476CS9,"Wassup, this is Ashley",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.59,476CS9,lol,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.10,486CS9,HEY GURL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.12,469CS9,trolololololololololololol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.20,476CS9,oh we got COUTNEY lolol,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.25,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.33,476CS9,Sarahhhhhh!!!!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
