DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,FEEDBACKABLE,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,ABUSE,TEASING,GROUP_BONDING,MOLECULE_SIZE
01.01.1970,02.16.29,475CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.16.39,479CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.16.56,462CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.07,475CS9,hi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.23,479CS9,hello,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.32,475CS9,ew,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.51,462CS9,Heyy people :),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.56,479CS9,yo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.58,475CS9,byee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.02,475CS9,sikenaw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.23,462CS9,dat not nice :(,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
01.01.1970,02.18.51,462CS9,this is weak as fuck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01.01.1970,02.19.10,479CS9,what do we do,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.19.20,462CS9,IDK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.56,462CS9,I 2 squares :o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.13,462CS9,tori is sooooo cute,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.18,462CS9,that was courtneyBACKSLASH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,02.21.53,475CS9,erwte,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.03,462CS9,that was courtney i swear,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,02.22.22,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.28,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.40,475CS9,my name is tori sage,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,02.22.44,475CS9,hello,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.57,462CS9,wow u got it in?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.23.00,462CS9,married much,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.23.03,479CS9,my name is joe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01.01.1970,02.23.13,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
