DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,POSITIVITY,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,EXPLANATION_CONTRIBUTION,MOLECULE_SIZE,FEEDBACKABLE_EXPLANATION,FEEDBACKABLE
01.01.1970,02.16.26,467CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.16.37,468CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.04,467CS9,;),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.17.35,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.37,478CS9,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.42,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.18.46,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.02,467CS9,hey katey baby ;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.07,467CS9,3;),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.13,467CS9,<3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.41,478CS9,alicia smells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.53,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.19.59,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.01,467CS9,katety smels p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.14,467CS9,pp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.15,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.41,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.44,478CS9,Me and isha are partying on friday :D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01.01.1970,02.20.50,467CS9,the starch wil stil turn purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01.01.1970,02.20.54,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.21.16,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.21.29,467CS9,im right :),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.21.33,TUTOR,*smiles*,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.40,478CS9,Alicia's so smartt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.22.57,467CS9,thanks taty bby<3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.23.20,478CS9,Sage. Teach us more,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
01.01.1970,02.23.24,TUTOR,"Okay, 478CS9 - why would the size of the molecules be relevant?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.16,478CS9,it shows if it leaked out?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,02.24.19,478CS9,i think,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.24.49,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.13,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.25.43,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.36,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.40,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.26.54,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.27.13,467CS9,the glucose turns the strip green but the startch turns iodine purple,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
01.01.1970,02.27.18,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.28.43,467CS9,the cel membrane was not strong enouth to kep the water from geting in to the bag. we know that because the bag weighs more.,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
01.01.1970,02.28.48,TUTOR,It's nice that you're explaining your reasoning.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,02.29.06,478CS9,Im confused.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
