DATE,TIME,AUTHOR,TEXT,NONE,REVOICABLE,INDICATOR,GIVING_ORIENTATION,FEEDBACKABLE,GIVING_OPINION,FEEDBACKABLE_UNSUPPORTED_PREDICTION,SCIENCE,PREDICTION_CONTRIBUTION,NEGATIVE,AFFIRMATIVE,EXPLANATION_CONTRIBUTION,SMILES,FEEDBACKABLE_PREDICTION,FEEDBACKABLE_EXPLANATION
01.01.1970,11.13.13,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.13.30,539CN5,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.13.48,504CN1,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.13.52,550CN5,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.13.57,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.14.42,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.14.49,504CN1,hi dajha!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.14.54,550CN5,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.14.58,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.15.18,550CN5,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.15.24,TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.15.29,550CN5,Vinny<3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.15.38,TUTOR,<< Here's what happened in this setup over time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.15.59,TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.16.26,504CN1,the iodine left the bag,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,11.16.31,TUTOR,"Okay, 504CN1 - why would how we use indicators be relevant?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.17.39,550CN5,the iodine was never in the bag the iodine went into the,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,11.17.48,550CN5,bag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.17.51,504CN1,the weight is decreasing and and the starch water changed colors,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,11.17.54,TUTOR,Any input from 539CN5?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.18.59,539CN5,if you loook at the diogeam it shows the big getting liter because the iodine left the bag,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
01.01.1970,11.19.21,550CN5,agreed...,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.19.26,504CN1,agreed...,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.19.32,TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.19.56,TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.20.27,TUTOR,Discuss the differences between glucose and starch molecules.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.20.46,550CN5,glucose molecules weigh less,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,11.21.19,TUTOR,We'll use the tube weight as an indicator for water movement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.21.23,TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.21.37,TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.22.01,TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.22.50,504CN1,the weight of the gluclose soltuion increased over the time period..,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,11.22.59,539CN5,the water has no suger in it so the strip will stay yellow. the gucose solution has duger so the strip will turn green,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
01.01.1970,11.23.03,550CN5,i think the glucpse molecules left the bag and went into the water in the process of that water molecules entered the bag,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
01.01.1970,11.23.41,504CN1,once again......agreed with dajha ... hahaBACKSLASH,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,11.24.00,550CN5,always a smart thing to do :),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,11.24.41,504CN1,but also i agree with vicky too ;),0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
01.01.1970,11.24.50,504CN1,:),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,11.25.32,539CN5,and over time glucose cane out of the bag and got into the water and that is why after 1 hour and 24 hours the strip that was in the water started to change.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,11.25.38,TUTOR,"Okay, everyone - let's move on to the last experiment.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.26.00,TUTOR,"In this setup we have glucose solution on the outside, pure water on the inside.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.26.23,TUTOR,"What changes do you think you'll see in this condition? Agree on a prediction for what you'll observe over time, *and* an explanation that everyone understands.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.26.50,539CN5,the water has not suger so the strip is yellow,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01.01.1970,11.27.36,539CN5,and the glucose has suger and the strip is green,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
01.01.1970,23.34.32,TUTOR,So is 539CN5 saying ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.27.51,539CN5,yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,11.28.06,504CN1,i think the gluclose test strip will slowly change to a bright yellow color it is on the weighing scale. also i think the bag of distilled water will weigh more because over time of sitting in the gloclose you will get some glucose molecules in the,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1
01.01.1970,11.28.06,550CN5,i don't think the sugar molecules will get in side the membrane i think they will be to big i think the water molecules will come out of the membrane and go into a concentrated equal enviorment,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0
01.01.1970,23.34.32,TUTOR,Would another way to say that be ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.28.38,550CN5,yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01.01.1970,11.29.41,504CN1,agreed........with dajha AGAIN!.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.29.51,539CN5,i agree to,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.30.02,TUTOR,"Make sure each of you is clear on your team's prediction and explanation, and write it in your worksheet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.30.09,504CN1,WE ALL AGREE!:),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
01.01.1970,11.30.45,TUTOR,"All right, we're wrapping up. Thanks, team!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.30.53,550CN5,just to restate... the sugar molecules will not go into the membrane the distellied water will come out and the test strip will turn yellow,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
01.01.1970,11.33.34,550CN5,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.34.28,539CN5,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,11.51.48,504CN1,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.06.20,TUTOR,leaves the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
