DATE,TIME,AUTHOR,TEXT,NONE,SMILES,INDICATOR,GIVING_ORIENTATION,GIVING_OPINION,SCIENCE,EXPLANATION_CONTRIBUTION,FEEDBACKABLE,FEEDBACKABLE_UNSUPPORTED_PREDICTION,POSITIVITY,PREDICTION_CONTRIBUTION,QUESTION,NEGATIVE,AFFIRMATIVE,REVOICABLE,FEEDBACKABLE_EXPLANATION
01.01.1970,00.44.22,TUTOR,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.44.51,570CN7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.45.19,557CN7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.45.24,565CN7,joins the room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.45.30,TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.12,570CN7,hi briaan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.14,TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.17,570CN7,565CN7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.30,TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.30,557CN7,HEYY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.37,570CN7,da'shaia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.40,557CN7,JAMIE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.1970,00.46.44,570CN7,hi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
