AUTHOR,TEXT,DATE,TIME
TUTOR,joins the room,19.01.2012,12.41.55
442CS7,joins the room,19.01.2012,12.41.59
440CS7,joins the room,19.01.2012,12.42.31
454CS7,joins the room,19.01.2012,12.42.45
TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",19.01.2012,12.42.51
442CS7,ason is a bum,19.01.2012,12.43.29
TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",19.01.2012,12.43.36
454CS7,Of course you'd say that.,19.01.2012,12.43.38
440CS7,ur gay dinga,19.01.2012,12.43.45
TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,19.01.2012,12.43.51
442CS7,stay on topic you bum,19.01.2012,12.44.03
440CS7,ok!!,19.01.2012,12.44.09
440CS7,jk,19.01.2012,12.44.10
454CS7,WERE LEARNING,19.01.2012,12.44.15
TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",19.01.2012,12.44.18
440CS7,ok,19.01.2012,12.44.20
442CS7,yesssssss,19.01.2012,12.44.20
454CS7,these.,19.01.2012,12.44.29
TUTOR,<< Here's what happened in this setup over time.,19.01.2012,12.44.31
440CS7,ur wierd,19.01.2012,12.44.45
440CS7,these,19.01.2012,12.44.49
454CS7,lol,19.01.2012,12.44.52
442CS7,lets get to work,19.01.2012,12.44.52
TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,19.01.2012,12.44.53
440CS7,ok,19.01.2012,12.44.58
440CS7,,19.01.2012,12.45.18
442CS7,what do we do,19.01.2012,12.46.02
440CS7,odk,19.01.2012,12.46.11
454CS7,"we watch, obviously",19.01.2012,12.46.12
440CS7,shut up aries,19.01.2012,12.46.21
442CS7,dont get smart with me.,19.01.2012,12.46.25
454CS7,lol you spelled it wrong.,19.01.2012,12.46.29
440CS7,idc,19.01.2012,12.46.35
454CS7,come at me bro,19.01.2012,12.46.40
440CS7,how do you spell it,19.01.2012,12.46.48
442CS7,i want some peroggies,19.01.2012,12.46.48
440CS7,ur fat,19.01.2012,12.46.54
440CS7,az hell,19.01.2012,12.47.01
454CS7,"hey, im trying to work here, youre ruining me concintration.",19.01.2012,12.47.38
440CS7,what are we doing,19.01.2012,12.47.49
454CS7,watching.,19.01.2012,12.47.54
440CS7,OK?,19.01.2012,12.48.01
454CS7,OK.,19.01.2012,12.48.07
440CS7,ur weird,19.01.2012,12.48.11
454CS7,no u,19.01.2012,12.48.16
TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",19.01.2012,12.48.26
440CS7,no u u Double D,19.01.2012,12.48.28
440CS7,DD,19.01.2012,12.48.35
454CS7,oh my,19.01.2012,12.48.35
440CS7,DD,19.01.2012,12.48.38
440CS7,DD,19.01.2012,12.48.39
440CS7,DD,19.01.2012,12.48.40
440CS7,DD,19.01.2012,12.48.41
440CS7,DD,19.01.2012,12.48.42
440CS7,DD,19.01.2012,12.48.43
440CS7,DD,19.01.2012,12.48.44
440CS7,DD,19.01.2012,12.48.45
454CS7,spam in a can,19.01.2012,12.48.46
TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",19.01.2012,12.48.49
440CS7,these,19.01.2012,12.48.51
440CS7,this is stupid,19.01.2012,12.49.08
TUTOR,Discuss the differences between glucose and starch molecules.,19.01.2012,12.49.20
454CS7,can you spend a minute without talking? XD,19.01.2012,12.49.24
TUTOR,Great! Can someone respond to 454CS7?,19.01.2012,12.49.28
440CS7,uyes,19.01.2012,12.49.33
TUTOR,Any input from 442CS7?,19.01.2012,12.49.34
440CS7,no,19.01.2012,12.49.39
442CS7,everyone go back to condition b,19.01.2012,12.49.46
440CS7,wat?,19.01.2012,12.49.53
454CS7,why,19.01.2012,12.50.05
454CS7,how? XD,19.01.2012,12.50.12
TUTOR,We'll use the tube weight as an indicator for water movement.,19.01.2012,12.50.13
440CS7,what?,19.01.2012,12.50.14
442CS7,i din't write it down,19.01.2012,12.50.16
TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,19.01.2012,12.50.16
454CS7,lol,19.01.2012,12.50.23
440CS7,OK?,19.01.2012,12.50.26
