quality,unique_words,length_ratio,sim_0,negations,neg_parity,unusuals_0,unusual_ratio_0,sim_1,unusuals_1,unusual_ratio_1,sim_2,unusuals_2,unusual_ratio_2,sim_3,unusuals_3,unusual_ratio_3,sim_4,unusuals_4,unusual_ratio_4,max_sim,min_sim,text
Yes,0.866667,0.125,0.868048593,0,0,0,1,0.901269653,1,0.5,0.509612352,0,1,0.999239172,0,1,0.978301998,0,1,0.999239172,0.509612352,1
No,0.875,0.222222,0.897882234,0,0,6,0.333333333,0.778354537,6,0.4,0.946495246,6,0.333333333,0.998750971,6,0.333333333,0.870496283,6,0.333333333,0.998750971,0.778354537,2
Yes,1,0,0.992196486,0,0,0,1,0.874217918,0,1,0.852258224,0,1,0.986097615,0,1,0.97121858,0,1,0.992196486,0.852258224,3
No,1.4,0.4,0.909175646,0,0,5,0.375,0.814768672,6,0.333333333,0.995296192,5,0.375,0.993521325,5,0.375,0.985758907,5,0.375,0.995296192,0.814768672,4
Yes,1.117647,0.055556,0.884506653,0,0,8,0.111111111,0.802903364,10,0.375,0.995353625,8,0.111111111,0.971186052,8,0.111111111,0.964063332,8,0.111111111,0.995353625,0.802903364,5
Yes,0.75,0.25,0.921186126,0,0,0,1,0.862373264,2,0.333333333,0.711570519,1,0.5,0.966447202,1,0.5,0.965979696,1,0.5,0.966447202,0.711570519,6
No,1.230769,0.230769,0.733143887,0,0,5,0.444444444,0.703738103,8,0.384615385,0.782953603,6,0.4,0.972085587,6,0.4,0.933368655,6,0.4,0.972085587,0.703738103,7
Yes,0.818182,0.181818,0.83545297,0,0,1,0.5,0.864078947,2,0.666666667,0.610489974,1,0.5,0.9269511,1,0.5,0.852864621,1,0.5,0.9269511,0.610489974,8
No,1,0,0.815578008,0,0,4,0,0.666018619,5,0,0.805155515,6,0,0.906167535,6,0,0.843535524,6,0,0.906167535,0.666018619,9
Yes,1.090909,0.181818,0.946030583,0,0,0,1,0.744227295,0,1,0.932211495,2,0.333333333,0.934625263,2,0.333333333,0.914368375,2,0.333333333,0.946030583,0.744227295,10
No,0.692308,0.333333,0.949447438,0,0,1,0.5,0.85228329,2,0.6,0.965592262,1,0.5,0.987651717,1,0.5,0.972611743,1,0.5,0.987651717,0.85228329,11
No,0.72,0.269231,0.927378612,0,0,0,1,0.886044314,1,0.75,0.86883952,3,0.4,0.968986665,3,0.4,0.975359817,3,0.4,0.975359817,0.86883952,12
No,0.785714,0.214286,0.756461753,0,0,8,0,0.673920963,9,0.1,0.838334862,8,0,0.98365194,8,0,0.986806329,8,0,0.986806329,0.673920963,13
Yes,0.833333,0.238095,0.965838732,0,0,0,1,0.83440701,2,0,0.878431855,0,1,0.997057732,0,1,0.989150313,0,1,0.997057732,0.83440701,14
Yes,0.958333,0.041667,0.985882139,0,0,0,1,0.89910105,2,0.5,0.99797139,0,1,0.972058563,0,1,0.861600224,0,1,0.99797139,0.861600224,15
No,0.736842,0.25,0.824472132,0,0,1,0.666666667,0.753209554,1,0.666666667,0.751437416,3,0.4,0.891009336,3,0.4,0.896759713,3,0.4,0.896759713,0.751437416,16
No,0.777778,0.263158,0.885466492,0,0,0,1,0.759008595,5,0.444444444,0.820794218,2,0.5,0.973580541,2,0.5,0.888298001,2,0.5,0.973580541,0.759008595,17
No,1.190476,0.238095,0.962872997,0,0,0,1,0.847306986,1,0,0.909815736,2,0.666666667,0.973245355,2,0.666666667,0.912396694,2,0.666666667,0.973245355,0.847306986,18
No,0.863636,0.090909,0.861398226,0,0,2,0,0.710555189,6,0,0.851081173,3,0,0.778536871,3,0,0.863672837,3,0,0.863672837,0.710555189,19
Yes,0.956522,0.111111,0.964773526,0,0,0,1,0.923754926,0,1,0.96926788,0,1,0.99570855,0,1,0.997310201,0,1,0.997310201,0.923754926,20
No,1.3125,0.4375,0.940336753,0,0,1,0,0.90803084,1,0,0.932738237,1,0.5,0.974647057,1,0.5,0.956246072,1,0.5,0.974647057,0.90803084,21
Yes,1,0,0.89253069,0,0,0,1,0.86562869,1,0.5,0.935632728,4,0.428571429,0.972452734,4,0.428571429,0.964746795,4,0.428571429,0.972452734,0.86562869,22
Yes,1.047619,0.037037,0.948347461,0,0,3,0.5,0.881126938,5,0.5,0.965388167,4,0.555555556,0.993596321,4,0.555555556,0.992112772,4,0.555555556,0.993596321,0.881126938,23
Yes,0.733333,0.266667,0.848278915,0,0,1,0.5,0.842982757,3,0.4,0.942339966,2,0.333333333,0.956185684,2,0.333333333,0.951080047,2,0.333333333,0.956185684,0.842982757,24
No,0.611111,0.318182,0.890692075,0,0,4,0.333333333,0.805310001,4,0.428571429,0.967805245,6,0.25,0.962764674,6,0.25,0.940340399,6,0.25,0.967805245,0.805310001,25
No,0.818182,0.04,0.910462912,0,0,6,0.25,0.872848648,7,0.3,0.920268237,6,0.25,0.97234226,6,0.25,0.95621867,6,0.25,0.97234226,0.872848648,26
Yes,0.947368,0.052632,0.901329718,0,0,2,0.5,0.792778452,2,0.6,0.867841576,3,0.5,0.947403595,3,0.5,0.917526342,3,0.5,0.947403595,0.792778452,27
Yes,1.214286,0.285714,0.904969005,0,0,1,0,0.724346944,2,0,0.828720146,5,0.375,0.971185622,5,0.375,0.956200925,5,0.375,0.971185622,0.724346944,28
Yes,1.307692,0.3125,0.916566367,0,0,1,0,0.832724873,3,0.25,0.907014386,2,0,0.884701904,2,0,0.91422424,2,0,0.916566367,0.832724873,29
No,0.9375,0.0625,0.945337394,0,0,3,0.666666667,0.782920762,8,0.428571429,0.820708376,4,0.6,0.974022538,4,0.6,0.974233478,4,0.6,0.974233478,0.782920762,30
