quality,unique_words,length_ratio,sim_0,negations,neg_parity,unusuals_0,unusual_ratio_0,sim_1,unusuals_1,unusual_ratio_1,sim_2,unusuals_2,unusual_ratio_2,sim_3,unusuals_3,unusual_ratio_3,sim_4,unusuals_4,unusual_ratio_4,max_sim,min_sim,line,text
Yes,0.866667,0.125,0.868048593,0,0,0,1,0.901269653,1,0.5,0.509612352,0,1,0.999239172,0,1,0.978301998,0,1,0.999239172,0.509612352,1,"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence. | Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence."
No,0.875,0.222222,0.897882234,0,0,6,0.333333333,0.778354537,6,0.4,0.946495246,6,0.333333333,0.998750971,6,0.333333333,0.870496283,6,0.333333333,0.998750971,0.778354537,2,Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion. | Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.
Yes,1,0,0.992196486,0,0,0,1,0.874217918,0,1,0.852258224,0,1,0.986097615,0,1,0.97121858,0,1,0.992196486,0.852258224,3,"They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added. | On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale."
No,1.4,0.4,0.909175646,0,0,5,0.375,0.814768672,6,0.333333333,0.995296192,5,0.375,0.993521325,5,0.375,0.985758907,5,0.375,0.995296192,0.814768672,4,"Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57. | Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57."
Yes,1.117647,0.055556,0.884506653,0,0,8,0.111111111,0.802903364,10,0.375,0.995353625,8,0.111111111,0.971186052,8,0.111111111,0.964063332,8,0.111111111,0.995353625,0.802903364,5,"The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange. | PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday."
Yes,0.75,0.25,0.921186126,0,0,0,1,0.862373264,2,0.333333333,0.711570519,1,0.5,0.966447202,1,0.5,0.965979696,1,0.5,0.966447202,0.711570519,6,"Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier. | With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier."
No,1.230769,0.230769,0.733143887,0,0,5,0.444444444,0.703738103,8,0.384615385,0.782953603,6,0.4,0.972085587,6,0.4,0.933368655,6,0.4,0.972085587,0.703738103,7,"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday. | The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15."
Yes,0.818182,0.181818,0.83545297,0,0,1,0.5,0.864078947,2,0.666666667,0.610489974,1,0.5,0.9269511,1,0.5,0.852864621,1,0.5,0.9269511,0.610489974,8,The DVD-CCA then appealed to the state Supreme Court. | The DVD CCA appealed that decision to the U.S. Supreme Court.
No,1,0,0.815578008,0,0,4,0,0.666018619,5,0,0.805155515,6,0,0.906167535,6,0,0.843535524,6,0,0.906167535,0.666018619,9,"That compared with $35.18 million, or 24 cents per share, in the year-ago period. | Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period."
Yes,1.090909,0.181818,0.946030583,0,0,0,1,0.744227295,0,1,0.932211495,2,0.333333333,0.934625263,2,0.333333333,0.914368375,2,0.333333333,0.946030583,0.744227295,10,He said the foodservice pie business doesn't fit the company's long-term growth strategy. | The foodservice pie business does not fit our long-term growth strategy.
No,0.692308,0.333333,0.949447438,0,0,1,0.5,0.85228329,2,0.6,0.965592262,1,0.5,0.987651717,1,0.5,0.972611743,1,0.5,0.987651717,0.85228329,11,"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent. | Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent."
No,0.72,0.269231,0.927378612,0,0,0,1,0.886044314,1,0.75,0.86883952,3,0.4,0.968986665,3,0.4,0.975359817,3,0.4,0.975359817,0.86883952,12,"Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March. | Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House."
No,0.785714,0.214286,0.756461753,0,0,8,0,0.673920963,9,0.1,0.838334862,8,0,0.98365194,8,0,0.986806329,8,0,0.986806329,0.673920963,13,"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77. | The Nasdaq Composite index, full of technology stocks, was lately up around 18 points."
Yes,0.833333,0.238095,0.965838732,0,0,0,1,0.83440701,2,0,0.878431855,0,1,0.997057732,0,1,0.989150313,0,1,0.997057732,0.83440701,14,But he added group performance would improve in the second half of the year and beyond. | De Sole said in the results statement that group performance would improve in the second half of the year and beyond.
Yes,0.958333,0.041667,0.985882139,0,0,0,1,0.89910105,2,0.5,0.99797139,0,1,0.972058563,0,1,0.861600224,0,1,0.99797139,0.861600224,15,"He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum. | Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools, he told The Sun."
No,0.736842,0.25,0.824472132,0,0,1,0.666666667,0.753209554,1,0.666666667,0.751437416,3,0.4,0.891009336,3,0.4,0.896759713,3,0.4,0.896759713,0.751437416,16,"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers. | The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights."
No,0.777778,0.263158,0.885466492,0,0,0,1,0.759008595,5,0.444444444,0.820794218,2,0.5,0.973580541,2,0.5,0.888298001,2,0.5,0.973580541,0.759008595,17,"Rudder was most recently senior vice president for the Developer & Platform Evangelism Business. | Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity."
No,1.190476,0.238095,0.962872997,0,0,0,1,0.847306986,1,0,0.909815736,2,0.666666667,0.973245355,2,0.666666667,0.912396694,2,0.666666667,0.973245355,0.847306986,18,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls. | Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls."
No,0.863636,0.090909,0.861398226,0,0,2,0,0.710555189,6,0,0.851081173,3,0,0.778536871,3,0,0.863672837,3,0,0.863672837,0.710555189,19,"Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war. | His wife said he was ""100 percent behind George Bush"" and looked forward to using his years of training in the war."
Yes,0.956522,0.111111,0.964773526,0,0,0,1,0.923754926,0,1,0.96926788,0,1,0.99570855,0,1,0.997310201,0,1,0.997310201,0.923754926,20,"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers. | Sheena Young, a spokesman for Child, the national infertility support network, said the proposed guidelines should lead to a more ""fair and equitable"" service for infertility sufferers."
No,1.3125,0.4375,0.940336753,0,0,1,0,0.90803084,1,0,0.932738237,1,0.5,0.974647057,1,0.5,0.956246072,1,0.5,0.974647057,0.90803084,21,"I think you'll see a lot of job growth in the next two years, he said, adding the growth could replace jobs lost. | I think you'll see a lot of job growth in the next two years, said Mankiw."
Yes,1,0,0.89253069,0,0,0,1,0.86562869,1,0.5,0.935632728,4,0.428571429,0.972452734,4,0.428571429,0.964746795,4,0.428571429,0.972452734,0.86562869,22,"The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access. | Panther's redesigned Finder navigation tool puts a user's favourite folders, hard drive, network servers, iDisk and removable media in one location."
Yes,1.047619,0.037037,0.948347461,0,0,3,0.5,0.881126938,5,0.5,0.965388167,4,0.555555556,0.993596321,4,0.555555556,0.992112772,4,0.555555556,0.993596321,0.881126938,23,"But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands. | Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic, the southeastern Bahamas and the Turks and Caicos islands."
Yes,0.733333,0.266667,0.848278915,0,0,1,0.5,0.842982757,3,0.4,0.942339966,2,0.333333333,0.956185684,2,0.333333333,0.951080047,2,0.333333333,0.956185684,0.842982757,24,"A federal magistrate in Fort Lauderdale ordered him held without bail. | Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla."
No,0.611111,0.318182,0.890692075,0,0,4,0.333333333,0.805310001,4,0.428571429,0.967805245,6,0.25,0.962764674,6,0.25,0.940340399,6,0.25,0.967805245,0.805310001,25,"A BMI of 25 or above is considered overweight; 30 or above is considered obese. | A BMI between 18.5 and 24.9 is considered normal, over 25 is considered overweight and 30 or greater is defined as obese."
No,0.818182,0.04,0.910462912,0,0,6,0.25,0.872848648,7,0.3,0.920268237,6,0.25,0.97234226,6,0.25,0.95621867,6,0.25,0.97234226,0.872848648,26,"The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat. | The dollar was at 116.78 yen JPY= , virtually flat on the session, and at 1.2871 against the Swiss franc CHF= , down 0.1 percent."
Yes,0.947368,0.052632,0.901329718,0,0,2,0.5,0.792778452,2,0.6,0.867841576,3,0.5,0.947403595,3,0.5,0.917526342,3,0.5,0.947403595,0.792778452,27,"Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August. | But six months ago, the two sides managed to strike a $6.8-billion debt rollover deal, which expires in August."
Yes,1.214286,0.285714,0.904969005,0,0,1,0,0.724346944,2,0,0.828720146,5,0.375,0.971185622,5,0.375,0.956200925,5,0.375,0.971185622,0.724346944,28,"Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them. | Simply put, shy invividuals tend to be more timid with new people and situations."
Yes,1.307692,0.3125,0.916566367,0,0,1,0,0.832724873,3,0.25,0.907014386,2,0,0.884701904,2,0,0.91422424,2,0,0.916566367,0.832724873,29,"I wanted to bring the most beautiful people into the most beautiful building, he said Sunday inside the Grand Central concourse. | I wanted to bring the most beautiful people into the most beautiful building, Tunick said Sunday."
No,0.9375,0.0625,0.945337394,0,0,3,0.666666667,0.782920762,8,0.428571429,0.820708376,4,0.6,0.974022538,4,0.6,0.974233478,4,0.6,0.974233478,0.782920762,30,"The broad Standard & Poor's 500 <.SPX> fell 10.75 points, or 1.02 percent, to 1,039.32. | The S&P 500 index was up 1.26, or 0.1 percent, to 1,039.32 after sinking 10.75 yesterday."
No,1.3125,0.3125,0.905184759,0,0,3,0,0.689495782,8,0.384615385,0.990183244,4,0,0.802449156,4,0,0.783860669,4,0,0.990183244,0.689495782,31,"Duque will return to Earth Oct. 27 with the station's current crew, U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko. | Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko."
