quality,unique_words,length_ratio,sim_0,negation_0,neg_parity_0,unusuals_0,unusual_ratio_0
Yes,0.866667,0.125000,0.8663049270767298,0,0,0,1.0
No,0.875000,0.222222,0.8963942094688261,0,0,6,0.3333333333333333
Yes,1.000000,0.000000,0.9921964857384798,0,0,0,1.0
No,1.400000,0.400000,0.9086298729188437,0,0,5,0.375
Yes,1.117647,0.055556,0.8845066531621292,0,0,8,0.1111111111111111
Yes,0.750000,0.250000,0.921186125774241,0,0,0,1.0
No,1.230769,0.230769,0.7180524936707847,0,0,5,0.4444444444444444
Yes,0.818182,0.181818,0.8101725590329066,0,0,1,0.5
No,1.000000,0.000000,0.7979365717055931,0,0,4,0.0
Yes,1.090909,0.181818,0.9460305828815537,0,0,0,1.0
No,0.692308,0.333333,0.9461846383123674,0,0,1,0.5
No,0.720000,0.269231,0.9273786123486119,0,0,0,1.0
No,0.785714,0.214286,0.7559192499894966,0,0,8,0.0
Yes,0.833333,0.238095,0.9658387324085616,0,0,0,1.0
Yes,0.958333,0.041667,0.9777610572291141,0,0,0,1.0
No,0.736842,0.250000,0.8244721315871508,0,0,1,0.6666666666666666
No,0.777778,0.263158,0.8845116202742558,0,0,0,1.0
No,1.190476,0.238095,0.9628729973226419,0,0,0,1.0
No,0.863636,0.090909,0.8575722329074043,0,0,2,0.0
Yes,0.956522,0.111111,0.9585129901018582,0,0,0,1.0
No,1.312500,0.437500,0.9389529480793684,0,0,1,0.0
Yes,1.000000,0.000000,0.8925306900879543,0,0,0,1.0
Yes,1.047619,0.037037,0.948347460556801,0,0,3,0.5
Yes,0.733333,0.266667,0.8364010122789437,0,0,1,0.5
No,0.611111,0.318182,0.8879039621849719,0,0,4,0.3333333333333333
No,0.818182,0.040000,0.9104629117895859,0,0,6,0.25
Yes,0.947368,0.052632,0.8987375651009513,0,0,2,0.5
Yes,1.214286,0.285714,0.9013177097278484,0,0,1,0.0
Yes,1.307692,0.312500,0.9165663671139241,0,0,1,0.0
No,0.937500,0.062500,0.9453373936188164,0,0,3,0.6666666666666666
No,1.312500,0.312500,0.9051847594057979,0,0,3,0.0
Yes,0.850000,0.227273,0.8997186281960733,0,0,3,0.25
Yes,0.777778,0.222222,0.9204725909499257,0,0,0,1.0
No,0.647059,0.294118,0.9293401644915129,1,1,1,0.0
Yes,1.333333,0.333333,0.7312472712977917,0,0,1,0.0
Yes,0.866667,0.133333,0.9151632027637635,0,0,0,1.0
No,0.928571,0.071429,0.8188399873516651,0,0,4,0.0
Yes,0.933333,0.066667,0.9198386337652775,0,0,1,0.6666666666666666
Yes,1.000000,0.000000,0.993333421356187,0,0,1,0.8
Yes,1.444444,0.444444,0.8940786415720117,0,0,0,1.0
Yes,0.896552,0.103448,0.9727930567449662,0,0,0,1.0
No,1.200000,0.200000,0.8650842969562036,0,0,1,0.0
Yes,1.187500,0.235294,0.9351389306665335,0,0,0,1.0
No,1.000000,0.100000,0.7775279747788099,0,0,7,0.2222222222222222
Yes,0.944444,0.181818,0.9331929524009506,0,0,5,0.5
Yes,0.913043,0.086957,0.9779110959898106,0,0,0,1.0
No,1.437500,0.470588,0.9109321727133718,0,0,0,1.0
Yes,0.736842,0.263158,0.8212361241314555,0,0,1,0.6666666666666666
Yes,0.818182,0.217391,0.9509515466624524,0,0,1,0.75
Yes,0.869565,0.130435,0.9907762171280976,0,0,0,1.0
Yes,0.772727,0.227273,0.9014997351551469,0,0,3,0.0
Yes,1.181818,0.166667,0.8479460805935666,0,0,1,0.6666666666666666
Yes,1.043478,0.043478,0.9999489600974787,0,0,0,1.0
Yes,1.384615,0.384615,0.8756513199697141,0,0,4,0.2
No,1.176471,0.105263,0.8343891712587049,0,0,3,0.25
Yes,0.863636,0.086957,0.8873373957112558,0,0,1,0.6666666666666666
Yes,1.050000,0.000000,0.9457811361284042,0,0,3,0.0
No,0.611111,0.388889,0.8880900512940384,0,0,1,0.0
Yes,1.272727,0.416667,0.9024211126091056,0,0,0,1.0
Yes,1.000000,0.038462,0.9392018164298526,0,0,2,0.5
No,0.708333,0.307692,0.8584282692090074,0,0,1,0.5
No,0.705882,0.294118,0.8857636301931191,1,1,8,0.0
No,0.785714,0.214286,0.8448180161388795,0,0,1,0.5
Yes,0.952381,0.041667,0.8630273007538808,0,0,1,0.0
No,0.800000,0.190476,0.874189582583825,0,0,1,0.75
No,0.650000,0.409091,0.9253820689415538,0,0,1,0.0
Yes,1.187500,0.222222,0.8658976211920167,0,0,0,1.0
Yes,1.166667,0.250000,0.8259158273704953,0,0,2,0.3333333333333333
Yes,0.916667,0.080000,0.8764812648439,0,0,0,1.0
Yes,0.800000,0.200000,0.8621257443947777,0,0,1,0.0
No,1.318182,0.304348,0.8792453378075837,0,0,0,1.0
Yes,0.952381,0.000000,0.8883083635952157,0,0,0,1.0
Yes,1.000000,0.000000,0.9813848383632138,0,0,2,0.3333333333333333
Yes,1.142857,0.142857,0.971941115901892,0,0,0,1.0
Yes,0.916667,0.083333,0.7492857930804814,0,0,0,1.0
Yes,1.052632,0.000000,0.9558486040890445,0,0,0,1.0
Yes,0.750000,0.250000,0.9548382402231624,0,0,1,0.0
Yes,0.818182,0.181818,0.9263364325984171,0,0,0,1.0
Yes,1.000000,0.000000,0.9303849774847505,0,0,1,0.0
Yes,0.892857,0.103448,0.9522349684354436,0,0,1,0.5
Yes,1.086957,0.125000,0.9108717128562663,0,0,3,0.0
No,0.750000,0.250000,0.8789626735018169,0,0,0,1.0
Yes,1.100000,0.142857,0.9374503679760553,0,0,1,0.75
No,0.733333,0.388889,0.8861594333294862,0,0,0,1.0
No,1.000000,0.095238,0.8694595399146404,0,0,15,0.0
Yes,0.928571,0.071429,0.8112449886329745,0,0,1,0.5
Yes,0.875000,0.038462,0.8968075630279762,0,0,1,0.0
Yes,0.947368,0.095238,0.9166444486294552,0,0,0,1.0
Yes,1.133333,0.000000,0.9289027191777968,0,0,0,1.0
