quality,unique_words,length_ratio,sim_0,negation_0,neg_parity_0,unusuals_0,unusual_ratio_0,max_sim,min_sim
1,0.866667,0.125000,0.5096123517029557,0,0,0,1.0,0.5096123517029557,0.5096123517029557
0,0.875000,0.222222,0.9464952460121341,0,0,6,0.3333333333333333,0.9464952460121341,0.9464952460121341
1,1.000000,0.000000,0.8522582241732054,0,0,0,1.0,0.8522582241732054,0.8522582241732054
0,1.400000,0.400000,0.9952961920329416,0,0,5,0.375,0.9952961920329416,0.9952961920329416
1,1.117647,0.055556,0.9953536247235547,0,0,8,0.1111111111111111,0.9953536247235547,0.9953536247235547
1,0.750000,0.250000,0.7115705192439095,0,0,1,0.5,0.7115705192439095,0.7115705192439095
0,1.230769,0.230769,0.7829536025354098,0,0,6,0.4,0.7829536025354098,0.7829536025354098
1,0.818182,0.181818,0.6104899743025866,0,0,1,0.5,0.6104899743025866,0.6104899743025866
0,1.000000,0.000000,0.8051555153061876,0,0,6,0.0,0.8051555153061876,0.8051555153061876
1,1.090909,0.181818,0.9322114949955476,0,0,2,0.3333333333333333,0.9322114949955476,0.9322114949955476
0,0.692308,0.333333,0.9655922620197875,0,0,1,0.5,0.9655922620197875,0.9655922620197875
0,0.720000,0.269231,0.8688395197259425,0,0,3,0.4,0.8688395197259425,0.8688395197259425
0,0.785714,0.214286,0.8383348620970293,0,0,8,0.0,0.8383348620970293,0.8383348620970293
1,0.833333,0.238095,0.8784318549240717,0,0,0,1.0,0.8784318549240717,0.8784318549240717
1,0.958333,0.041667,0.9979713902967764,0,0,0,1.0,0.9979713902967764,0.9979713902967764
0,0.736842,0.250000,0.7514374158540454,0,0,3,0.4,0.7514374158540454,0.7514374158540454
0,0.777778,0.263158,0.8207942176056464,0,0,2,0.5,0.8207942176056464,0.8207942176056464
0,1.190476,0.238095,0.9098157364451219,0,0,2,0.6666666666666666,0.9098157364451219,0.9098157364451219
0,0.863636,0.090909,0.8510811733350782,0,0,3,0.0,0.8510811733350782,0.8510811733350782
1,0.956522,0.111111,0.9692678796884521,0,0,0,1.0,0.9692678796884521,0.9692678796884521
0,1.312500,0.437500,0.9327382365850464,0,0,1,0.5,0.9327382365850464,0.9327382365850464
1,1.000000,0.000000,0.9356327283393021,0,0,4,0.42857142857142855,0.9356327283393021,0.9356327283393021
1,1.047619,0.037037,0.9653881672220231,0,0,4,0.5555555555555556,0.9653881672220231,0.9653881672220231
1,0.733333,0.266667,0.9423399662119925,0,0,2,0.3333333333333333,0.9423399662119925,0.9423399662119925
0,0.611111,0.318182,0.9678052452863845,0,0,6,0.25,0.9678052452863845,0.9678052452863845
0,0.818182,0.040000,0.9202682372205698,0,0,6,0.25,0.9202682372205698,0.9202682372205698
1,0.947368,0.052632,0.8678415761117184,0,0,3,0.5,0.8678415761117184,0.8678415761117184
1,1.214286,0.285714,0.8287201458865613,0,0,5,0.375,0.8287201458865613,0.8287201458865613
1,1.307692,0.312500,0.9070143857144157,0,0,2,0.0,0.9070143857144157,0.9070143857144157
0,0.937500,0.062500,0.820708375892982,0,0,4,0.6,0.820708375892982,0.820708375892982
0,1.312500,0.312500,0.9901832440361877,0,0,4,0.0,0.9901832440361877,0.9901832440361877
1,0.850000,0.227273,0.9536597824944272,0,0,4,0.2,0.9536597824944272,0.9536597824944272
1,0.777778,0.222222,0.9447009683127616,0,0,1,0.6666666666666666,0.9447009683127616,0.9447009683127616
0,0.647059,0.294118,0.8163016232404401,1,1,1,0.0,0.8163016232404401,0.8163016232404401
1,1.333333,0.333333,0.9727324615197549,0,0,2,0.0,0.9727324615197549,0.9727324615197549
1,0.866667,0.133333,0.9332657158313803,0,0,1,0.75,0.9332657158313803,0.9332657158313803
0,0.928571,0.071429,0.9025385513085522,0,0,5,0.0,0.9025385513085522,0.9025385513085522
1,0.933333,0.066667,0.9982703301256958,0,0,2,0.6,0.9982703301256958,0.9982703301256958
1,1.000000,0.000000,0.9978112534271198,0,0,1,0.8333333333333334,0.9978112534271198,0.9978112534271198
1,1.444444,0.444444,0.8867612929183045,0,0,1,0.0,0.8867612929183045,0.8867612929183045
1,0.896552,0.103448,0.898594792833135,0,0,1,0.8,0.898594792833135,0.898594792833135
0,1.200000,0.200000,0.8128053768970361,0,0,3,0.25,0.8128053768970361,0.8128053768970361
1,1.187500,0.235294,0.9993130243179806,0,0,1,0.0,0.9993130243179806,0.9993130243179806
0,1.000000,0.100000,0.9850258285295856,0,0,7,0.2222222222222222,0.9850258285295856,0.9850258285295856
1,0.944444,0.181818,0.8241597663909879,0,0,5,0.5,0.8241597663909879,0.8241597663909879
1,0.913043,0.086957,0.9534953633354962,0,0,0,1.0,0.9534953633354962,0.9534953633354962
0,1.437500,0.470588,0.929733125041555,0,0,1,0.75,0.929733125041555,0.929733125041555
1,0.736842,0.263158,0.6596350630572537,0,0,1,0.75,0.6596350630572537,0.6596350630572537
1,0.818182,0.217391,0.999099475466673,0,0,1,0.8,0.999099475466673,0.999099475466673
1,0.869565,0.130435,0.9820148676284174,0,0,0,1.0,0.9820148676284174,0.9820148676284174
1,0.772727,0.227273,0.9633617182257063,0,0,3,0.0,0.9633617182257063,0.9633617182257063
1,1.181818,0.166667,0.9230583169321516,0,0,2,0.5,0.9230583169321516,0.9230583169321516
1,1.043478,0.043478,0.9833119557926376,0,0,0,1.0,0.9833119557926376,0.9833119557926376
1,1.384615,0.384615,0.9193857270715287,0,0,4,0.2,0.9193857270715287,0.9193857270715287
0,1.176471,0.105263,0.9370867011231209,0,0,3,0.4,0.9370867011231209,0.9370867011231209
1,0.863636,0.086957,0.8581350791381761,0,0,3,0.4,0.8581350791381761,0.8581350791381761
1,1.050000,0.000000,0.9419375663202832,0,0,3,0.0,0.9419375663202832,0.9419375663202832
0,0.611111,0.388889,0.8158414546751583,0,0,1,0.5,0.8158414546751583,0.8158414546751583
1,1.272727,0.416667,0.9266626310106216,0,0,1,0.0,0.9266626310106216,0.9266626310106216
1,1.000000,0.038462,0.9767147775128238,0,0,2,0.5,0.9767147775128238,0.9767147775128238
0,0.708333,0.307692,0.9064445206299477,0,0,5,0.16666666666666666,0.9064445206299477,0.9064445206299477
0,0.705882,0.294118,0.9162825131081666,1,1,8,0.1111111111111111,0.9162825131081666,0.9162825131081666
0,0.785714,0.214286,0.7132542174070413,0,0,1,0.5,0.7132542174070413,0.7132542174070413
1,0.952381,0.041667,0.949473420451735,0,0,2,0.0,0.949473420451735,0.949473420451735
0,0.800000,0.190476,0.8947129142323893,0,0,1,0.75,0.8947129142323893,0.8947129142323893
0,0.650000,0.409091,0.9706882827424532,0,0,3,0.0,0.9706882827424532,0.9706882827424532
1,1.187500,0.222222,0.879865151963874,0,0,0,1.0,0.879865151963874,0.879865151963874
1,1.166667,0.250000,0.954541637339958,0,0,2,0.3333333333333333,0.954541637339958,0.954541637339958
1,0.916667,0.080000,0.8381402610254909,0,0,2,0.3333333333333333,0.8381402610254909,0.8381402610254909
1,0.800000,0.200000,0.8888833242883372,0,0,2,0.0,0.8888833242883372,0.8888833242883372
0,1.318182,0.304348,0.8446631608348151,0,0,5,0.0,0.8446631608348151,0.8446631608348151
1,0.952381,0.000000,0.9984681912435034,0,0,7,0.2222222222222222,0.9984681912435034,0.9984681912435034
1,1.000000,0.000000,0.9998754255064325,0,0,2,0.7142857142857143,0.9998754255064325,0.9998754255064325
1,1.142857,0.142857,0.8477146494106815,0,0,1,0.8333333333333334,0.8477146494106815,0.8477146494106815
1,0.916667,0.083333,0.5139038369354983,0,0,4,0.0,0.5139038369354983,0.5139038369354983
1,1.052632,0.000000,0.9998094710581459,0,0,0,1.0,0.9998094710581459,0.9998094710581459
1,0.750000,0.250000,0.9310955275067753,0,0,2,0.0,0.9310955275067753,0.9310955275067753
1,0.818182,0.181818,0.954680027661816,0,0,0,1.0,0.954680027661816,0.954680027661816
1,1.000000,0.000000,0.9046213344235823,0,0,1,0.5,0.9046213344235823,0.9046213344235823
1,0.892857,0.103448,0.9863613047000712,0,0,1,0.8,0.9863613047000712,0.9863613047000712
1,1.086957,0.125000,0.8787402925332558,0,0,4,0.0,0.8787402925332558,0.8787402925332558
0,0.750000,0.250000,0.891002567910751,0,0,2,0.5,0.891002567910751,0.891002567910751
