quality,unique_words,length_ratio,sim_0,negation_0,neg_parity_0,unusuals_0,unusual_ratio_0,max_sim,min_sim
Yes,0.866667,0.125000,0.8831147380769739,0,0,0,1.0,0.8831147380769739,0.8831147380769739
No,0.875000,0.222222,0.905433670577048,0,0,6,0.3333333333333333,0.905433670577048,0.905433670577048
Yes,1.000000,0.000000,0.8527505513494655,0,0,0,1.0,0.8527505513494655,0.8527505513494655
No,1.400000,0.400000,0.9736288524263177,0,0,5,0.375,0.9736288524263177,0.9736288524263177
Yes,1.117647,0.055556,0.9839084426124061,0,0,8,0.1111111111111111,0.9839084426124061,0.9839084426124061
Yes,0.750000,0.250000,0.9740184582523926,0,0,1,0.5,0.9740184582523926,0.9740184582523926
No,1.230769,0.230769,0.9099396277866812,0,0,6,0.4,0.9099396277866812,0.9099396277866812
Yes,0.818182,0.181818,0.9919019970908882,0,0,1,0.5,0.9919019970908882,0.9919019970908882
No,1.000000,0.000000,0.9390303262615333,0,0,6,0.0,0.9390303262615333,0.9390303262615333
Yes,1.090909,0.181818,0.9035449452268353,0,0,2,0.3333333333333333,0.9035449452268353,0.9035449452268353
No,0.692308,0.333333,0.9569340766786004,0,0,1,0.5,0.9569340766786004,0.9569340766786004
No,0.720000,0.269231,0.9664023914828155,0,0,3,0.4,0.9664023914828155,0.9664023914828155
No,0.785714,0.214286,0.7933671813521983,0,0,8,0.0,0.7933671813521983,0.7933671813521983
Yes,0.833333,0.238095,0.8946870382422374,0,0,0,1.0,0.8946870382422374,0.8946870382422374
Yes,0.958333,0.041667,0.9814931332184257,0,0,0,1.0,0.9814931332184257,0.9814931332184257
No,0.736842,0.250000,0.7981998409026895,0,0,3,0.4,0.7981998409026895,0.7981998409026895
No,0.777778,0.263158,0.7996249896989991,0,0,2,0.5,0.7996249896989991,0.7996249896989991
No,1.190476,0.238095,0.8628546869795238,0,0,2,0.6666666666666666,0.8628546869795238,0.8628546869795238
No,0.863636,0.090909,0.925837825130741,0,0,3,0.0,0.925837825130741,0.925837825130741
