quality,similarity,unique words,length ratio
1,0.871030,7,0.117647
1,0.723781,11,0.115385
1,0.898240,18,0.285714
0,0.879643,17,0.071429
0,0.580209,5,0.352941
1,0.898072,12,0.100000
0,0.692526,5,0.300000
1,0.677667,8,0.000000
1,0.780943,13,0.321429
0,0.747562,6,0.133333
1,0.746521,8,0.055556
1,0.764911,7,0.285714
1,0.860159,14,0.150000
0,0.813420,8,0.187500
1,0.930401,19,0.120000
0,0.712702,5,0.500000
1,0.925626,20,0.153846
1,0.895400,19,0.172414
1,0.950247,19,0.000000
1,0.877810,15,0.000000
1,0.813068,11,0.181818
1,0.844462,8,0.076923
1,0.725511,10,0.000000
1,0.902710,18,0.035714
0,0.685732,3,0.230769
1,0.807874,10,0.157895
1,0.853588,13,0.000000
1,0.899226,17,0.240000
1,0.911420,18,0.450000
1,0.687462,4,0.250000
1,0.814248,7,0.187500
0,0.924456,19,0.275862
0,0.847890,12,0.227273
0,0.730659,7,0.384615
1,0.883185,15,0.304348
0,0.927763,18,0.230769
1,0.830612,13,0.200000
1,0.893686,12,0.266667
0,0.731501,4,0.250000
1,0.829175,10,0.266667
1,0.779452,4,0.375000
1,0.811114,16,0.173913
0,0.763211,7,0.263158
1,0.920479,13,0.291667
1,0.673450,6,0.142857
0,0.735712,8,0.200000
0,0.818843,13,0.200000
0,0.718957,8,0.187500
1,0.861493,14,0.200000
1,0.711241,10,0.052632
1,0.652379,5,0.153846
1,0.915516,12,0.166667
1,0.837358,9,0.277778
1,0.656766,6,0.071429
0,0.651529,6,0.500000
1,0.735279,11,0.000000
1,0.688273,11,0.181818
1,1.000000,13,0.000000
0,0.769618,12,0.350000
1,0.908653,17,0.166667
1,0.846826,5,0.000000
1,0.931784,18,0.080000
1,0.787584,6,0.500000
1,0.888546,17,0.041667
1,0.855612,10,0.277778
1,0.920214,16,0.160000
1,0.704640,8,0.235294
1,0.863793,10,0.062500
1,0.815167,13,0.388889
1,0.806107,13,0.176471
0,0.754181,12,0.500000
1,0.805813,16,0.000000
1,0.895751,10,0.222222
0,0.722794,13,0.035714
1,0.862232,16,0.181818
1,0.656647,3,0.166667
1,0.866688,16,0.043478
1,0.804228,7,0.230769
0,0.861076,9,0.315789
0,0.809687,11,0.300000
1,0.733736,8,0.000000
0,0.851153,15,0.136364
1,0.819631,15,0.038462
0,0.724067,5,0.166667
0,0.697291,9,0.166667
0,0.800259,11,0.240000
1,0.753453,3,0.090909
