quality,similarity,unique words,length ratio,negation,negation parity,unusual tokens,unusual ratio
Yes,0.901270,0.473684,0.125000,0,0,1,0.500000
No,0.778355,0.250000,0.222222,0,0,6,0.400000
Yes,0.874218,0.454545,0.000000,0,0,0,1.000000
No,0.814769,0.384615,0.400000,0,0,6,0.333333
Yes,0.802903,0.241379,0.055556,0,0,10,0.375000
Yes,0.862373,0.590909,0.250000,0,0,2,0.333333
No,0.703738,0.160000,0.230769,0,0,8,0.384615
Yes,0.864079,0.428571,0.181818,0,0,2,0.666667
No,0.666019,0.166667,0.000000,0,0,5,0.000000
Yes,0.744227,0.437500,0.181818,0,0,0,1.000000
No,0.852283,0.517241,0.333333,0,0,2,0.600000
No,0.886044,0.592593,0.269231,0,0,1,0.750000
No,0.673921,0.086957,0.214286,0,0,9,0.100000
Yes,0.834407,0.571429,0.238095,0,0,2,0.000000
Yes,0.899101,0.516129,0.041667,0,0,2,0.500000
No,0.753210,0.434783,0.250000,0,0,1,0.666667
No,0.759009,0.142857,0.263158,0,0,5,0.444444
No,0.847307,0.586207,0.238095,0,0,1,0.000000
No,0.710555,0.464286,0.090909,0,0,6,0.000000
Yes,0.923755,0.666667,0.111111,0,0,0,1.000000
No,0.908031,0.608696,0.437500,0,0,1,0.000000
Yes,0.865629,0.555556,0.000000,0,0,1,0.500000
Yes,0.881127,0.482759,0.037037,0,0,5,0.500000
Yes,0.842983,0.300000,0.266667,0,0,3,0.400000
No,0.805310,0.380952,0.318182,0,0,4,0.428571
No,0.872849,0.538462,0.040000,0,0,7,0.300000
Yes,0.792778,0.370370,0.052632,0,0,2,0.600000
Yes,0.724347,0.291667,0.285714,0,0,2,0.000000
Yes,0.832725,0.428571,0.312500,0,0,3,0.250000
No,0.782921,0.240000,0.062500,0,0,8,0.428571
No,0.689496,0.321429,0.312500,0,0,8,0.384615
Yes,0.811107,0.275862,0.227273,0,0,3,0.571429
Yes,0.795142,0.391304,0.222222,0,0,1,0.750000
No,0.828508,0.555556,0.294118,1,1,1,0.000000
Yes,0.725701,0.312500,0.333333,0,0,1,0.000000
Yes,0.765817,0.120000,0.133333,0,0,7,0.300000
No,0.618374,0.080000,0.071429,0,0,6,0.000000
Yes,0.888367,0.450000,0.066667,0,0,1,0.800000
Yes,0.992749,0.750000,0.000000,0,0,1,0.900000
Yes,0.737860,0.222222,0.444444,0,0,2,0.000000
Yes,0.899129,0.486486,0.103448,0,0,2,0.500000
No,0.719903,0.466667,0.200000,0,0,2,0.000000
Yes,0.909234,0.521739,0.235294,0,0,0,1.000000
No,0.731677,0.200000,0.100000,0,0,8,0.200000
Yes,0.882159,0.458333,0.181818,0,0,6,0.454545
Yes,0.921573,0.692308,0.086957,0,0,2,0.777778
No,0.748350,0.392857,0.470588,0,0,0,1.000000
Yes,0.756326,0.269231,0.263158,0,0,2,0.500000
Yes,0.940463,0.739130,0.217391,0,0,1,0.857143
Yes,0.949995,0.720000,0.130435,0,0,0,1.000000
Yes,0.794854,0.344828,0.227273,0,0,3,0.000000
Yes,0.853136,0.333333,0.166667,0,0,1,0.666667
Yes,0.952269,0.620690,0.043478,0,0,0,1.000000
Yes,0.754927,0.148148,0.384615,0,0,5,0.444444
No,0.799434,0.370370,0.105263,0,0,4,0.200000
Yes,0.850627,0.366667,0.086957,0,0,3,0.666667
Yes,0.839291,0.518519,0.000000,0,0,5,0.166667
No,0.687876,0.208333,0.388889,0,0,2,0.500000
Yes,0.805312,0.470588,0.416667,0,0,0,1.000000
Yes,0.827344,0.562500,0.038462,0,0,3,0.571429
No,0.764947,0.366667,0.307692,0,0,2,0.666667
No,0.731347,0.260870,0.294118,1,1,8,0.000000
No,0.792446,0.470588,0.214286,0,0,4,0.428571
Yes,0.866825,0.322581,0.041667,0,0,2,0.500000
No,0.770535,0.241379,0.190476,0,0,4,0.428571
No,0.839632,0.320000,0.409091,0,0,2,0.800000
Yes,0.788126,0.346154,0.222222,0,0,1,0.666667
Yes,0.833351,0.300000,0.250000,0,0,2,0.500000
Yes,0.787839,0.352941,0.080000,0,0,1,0.875000
Yes,0.850766,0.350000,0.200000,0,0,2,0.714286
No,0.808375,0.378378,0.304348,0,0,0,1.000000
Yes,0.808630,0.464286,0.000000,0,0,0,1.000000
Yes,0.965764,0.714286,0.000000,0,0,4,0.555556
Yes,0.826419,0.363636,0.142857,0,0,0,1.000000
Yes,0.565876,0.277778,0.083333,0,0,1,0.800000
Yes,0.915971,0.695652,0.000000,0,0,0,1.000000
Yes,0.887876,0.448276,0.250000,0,0,3,0.000000
Yes,0.882488,0.739130,0.181818,0,0,1,0.800000
Yes,0.879528,0.714286,0.000000,0,0,4,0.428571
Yes,0.909734,0.709677,0.103448,0,0,2,0.500000
Yes,0.843062,0.411765,0.125000,0,0,6,0.333333
No,0.679525,0.250000,0.250000,0,0,5,0.545455
Yes,0.845534,0.555556,0.142857,0,0,4,0.555556
No,0.809026,0.368421,0.388889,0,0,0,1.000000
No,0.713842,0.135135,0.095238,0,0,19,0.095238
Yes,0.767346,0.421053,0.071429,0,0,2,0.333333
Yes,0.740275,0.323529,0.038462,0,0,2,0.000000
Yes,0.866574,0.541667,0.095238,0,0,0,1.000000
Yes,0.812123,0.523810,0.000000,0,0,1,0.666667
Yes,0.906705,0.333333,0.166667,0,0,1,0.000000
No,0.800967,0.227273,0.076923,0,0,6,0.500000
No,0.708729,0.227273,0.187500,0,0,6,0.250000
No,0.731337,0.240000,0.214286,0,0,16,0.111111
Yes,0.935543,0.541667,0.050000,0,0,0,1.000000
No,0.773276,0.192308,0.214286,0,0,13,0.187500
No,0.795398,0.350000,0.294118,0,0,2,0.000000
Yes,0.749849,0.272727,0.000000,0,0,11,0.214286
No,0.746717,0.346154,0.250000,0,0,1,0.500000
No,0.558829,0.227273,0.230769,0,0,0,1.000000
Yes,0.971826,0.689655,0.125000,0,0,0,1.000000
Yes,0.731652,0.240000,0.222222,0,0,8,0.000000
No,0.654196,0.350000,0.153846,0,0,0,1.000000
Yes,0.850053,0.470588,0.037037,0,0,4,0.555556
Yes,0.858454,0.444444,0.150000,0,0,5,0.000000
Yes,0.773082,0.440000,0.250000,0,0,1,0.800000
Yes,0.681376,0.250000,0.083333,0,0,2,0.333333
No,0.785774,0.440000,0.363636,0,0,0,1.000000
Yes,0.829396,0.476190,0.315789,0,0,1,0.666667
Yes,0.703043,0.157895,0.000000,0,0,2,0.000000
Yes,0.929102,0.592593,0.041667,0,0,3,0.571429
Yes,0.872876,0.708333,0.047619,0,0,2,0.600000
Yes,0.761055,0.305556,0.043478,0,0,1,0.500000
Yes,0.819220,0.433333,0.040000,0,0,10,0.230769
No,0.767981,0.360000,0.428571,0,0,9,0.307692
No,0.758245,0.133333,0.266667,0,0,14,0.125000
Yes,0.725798,0.409091,0.062500,0,0,0,1.000000
No,0.791127,0.185185,0.333333,0,0,14,0.222222
Yes,0.932399,0.560000,0.294118,0,0,3,0.500000
No,0.824185,0.310345,0.190476,0,0,10,0.090909
Yes,0.916332,0.636364,0.068966,0,0,0,1.000000
Yes,0.918783,0.793103,0.038462,0,0,3,0.700000
Yes,0.875093,0.703704,0.000000,0,0,3,0.000000
Yes,0.834141,0.437500,0.217391,0,0,0,1.000000
No,0.776413,0.413793,0.100000,0,0,0,1.000000
Yes,0.699204,0.150000,0.300000,0,0,0,1.000000
Yes,0.904222,0.739130,0.090909,0,0,2,0.600000
Yes,0.911841,0.678571,0.400000,0,0,1,0.500000
Yes,0.847077,0.433333,0.238095,0,0,3,0.400000
Yes,0.890874,0.607143,0.043478,0,0,2,0.600000
Yes,0.965911,0.640000,0.173913,0,0,0,1.000000
No,0.736357,0.172414,0.050000,0,0,3,0.666667
No,0.776926,0.500000,0.333333,0,0,0,1.000000
Yes,0.832192,0.473684,0.153846,0,0,5,0.166667
Yes,0.890992,0.666667,0.185185,0,0,1,0.666667
Yes,0.881767,0.521739,0.117647,0,0,1,0.666667
Yes,0.792493,0.464286,0.210526,0,0,2,0.000000
No,0.746590,0.272727,0.230769,0,0,0,1.000000
Yes,0.947125,0.352941,0.300000,0,0,1,0.666667
Yes,0.859643,0.500000,0.000000,0,0,0,1.000000
No,0.946731,0.666667,0.176471,0,0,0,1.000000
Yes,0.633981,0.181818,0.000000,0,0,3,0.250000
Yes,0.805970,0.500000,0.043478,0,0,2,0.750000
Yes,0.856791,0.607143,0.045455,0,0,0,1.000000
No,0.809300,0.166667,0.153846,0,0,11,0.266667
Yes,0.856633,0.521739,0.117647,0,0,1,0.750000
No,0.638378,0.250000,0.000000,0,0,2,0.000000
Yes,0.736838,0.470588,0.363636,0,0,2,0.000000
