2021-04-22,12:39:35,0,Clem the Climate Policy Wonk,1619109575555,Hi! We will start soon.,GREET_AND_WAIT
2021-04-22,12:39:46,0,Clem the Climate Policy Wonk,1619109587615,Welcome! I'm Clem.,INTRODUCE
2021-04-22,12:39:46,0,Clem the Climate Policy Wonk,1619109592622,"Tell the team your name and share something about yourself, such as a hobby you have or a game you like to play. Ask questions about what the others share. Take a couple of minutes to learn more about each other.",INTRODUCE
2021-04-22,12:39:57,0,Chas,1619109597886,I am Chas,GIVING_NAME+AFFIRMATIVE
2021-04-22,12:39:57,0,Clem the Climate Policy Wonk,1619109599637,"Hello, Chas.",GREET
2021-04-22,12:40:16,0,Clem the Climate Policy Wonk,1619109617685,"Okay, we're starting.",PROMPT_STEP_A1
2021-04-22,12:40:16,0,Clem the Climate Policy Wonk,1619109622691,"In this activity, your team will examine evidence of climate change in the form of graphs and experimental data. You will be asked to identify what the evidence tells you and what questions you still have. Then, you will read a local mayor’s opinion on fossil fuels and develop an argument in response.",PROMPT_STEP_A1
2021-04-22,12:40:16,0,Clem the Climate Policy Wonk,1619109635725,"Each of you will start out by specializing in one aspect of climate change: temperature change, carbon dioxide, or fossil fuels.",PROMPT_STEP_A2
2021-04-22,12:40:16,0,Clem the Climate Policy Wonk,1619109640731,"Decide among yourselves who will specialize in which aspect. If someone comes late, they'll get one of the remaining aspects. If you end up shorthanded, cover your own specialization and then work together on what remains.",PROMPT_STEP_A2
2021-04-22,12:40:16,0,Clem the Climate Policy Wonk,1619109645737,Go ahead and decide who gets which. I'll wait a bit.,PROMPT_STEP_A2
2021-04-22,12:41:03,0,Clem the Climate Policy Wonk,1619109664796,"Type ""ready"" when you have decided who will cover which specialization.",WAIT_FOR_CHECKIN
2021-04-22,12:41:26,0,Clem the Climate Policy Wonk,1619109686861,"Okay, let's get ready to move on.",TIMEOUT_WARNING
2021-04-22,12:41:33,0,Clem the Climate Policy Wonk,1619109694888,"Now it's time to research your specialization. Click on the ""Data"" tab at the left. You'll find a Google Sheet which itself has 3 tabs at the bottom, one for each specialization: Temperature Change, Carbon Dioxide, and Fossil Fuels. Find the Data tab for your specialization.",PROMPT_STEP_A3
2021-04-22,12:41:47,0,Clem the Climate Policy Wonk,1619109708927,"Type ""ready"" when you have found the data for your specialization.",WAIT_FOR_CHECKIN
2021-04-22,12:42:32,0,Clem the Climate Policy Wonk,1619109753070,We need to start wrapping up. Get ready to move on.,TIMEOUT_WARNING
2021-04-22,12:42:47,0,Clem the Climate Policy Wonk,1619109769130,"Now examine your data and record your thoughts by filling out the ""Notes"" tab that corresponds to your specialization on the left.",PROMPT_STEP_A4
2021-04-22,12:43:14,0,Clem the Climate Policy Wonk,1619109795214,"Take up to 10 minutes to examine the data and record your thoughts. Make sure your team covers all the specializations. If you finish early, share your thoughts with one another and see if you can come up with more ideas.",PROMPT_STEP_A5
2021-04-22,12:43:27,0,Clem the Climate Policy Wonk,1619109809259,"Type ""ready"" when you have finished researching and writing about your specialization.",WAIT_FOR_CHECKIN
2021-04-22,12:46:00,0,Clem the Climate Policy Wonk,1619109961702,Things seem to be going well...,RANDOM_SOCIAL+SOCIAL
2021-04-22,12:49:01,0,Clem the Climate Policy Wonk,1619110142213,Let's keep going.,RANDOM_SOCIAL+SOCIAL
2021-04-22,12:50:58,0,Clem the Climate Policy Wonk,1619110258591,We need to start wrapping up. Get ready to move on.,TIMEOUT_WARNING
2021-04-22,12:53:28,0,Clem the Climate Policy Wonk,1619110409075,"Okay, it's time to move on to the next part of the activity. First, spend a few minutes reading and thinking about the letter from the mayor that you'll find in the ""Mayoral Letter"" tab at the left.",PROMPT_STEP_B1
2021-04-22,12:54:10,0,Clem the Climate Policy Wonk,1619110451216,"Type ""ready"" when you have finished examining the mayor's letter.",WAIT_FOR_CHECKIN
2021-04-22,12:56:25,0,Clem the Climate Policy Wonk,1619110587635,"Okay, let's get ready to move on.",TIMEOUT_WARNING
2021-04-22,12:57:10,0,Clem the Climate Policy Wonk,1619110631789,"Before developing your response to Mayor Williams, summarize her perspective. What are the benefits of using fossil fuels? What evidence and reasoning does she use to support her decision? Discuss for a few minutes.",PROMPT_STEP_B2
2021-04-22,12:57:21,0,Clem the Climate Policy Wonk,1619110643828,"Type ""ready"" when you have finished summarizing and discussing the mayor's letter.",WAIT_FOR_CHECKIN
2021-04-22,12:59:36,0,Clem the Climate Policy Wonk,1619110778262,We need to start wrapping up. Get ready to move on.,TIMEOUT_WARNING
2021-04-22,13:00:21,0,Clem the Climate Policy Wonk,1619110822424,"Now, spend the rest of your time discussing and developing a response to the mayor. Make sure to support your ideas with evidence. Use the ""Joint Response"" tab at the left to develop your response.",PROMPT_STEP_B3
2021-04-22,13:00:21,0,Clem the Climate Policy Wonk,1619110827429,Each team member's typing in the Joint Response will be a different color! But work together to create a combined response.,PROMPT_STEP_B3
2021-04-22,13:09:40,0,Clem the Climate Policy Wonk,1619111382193,It is time for us to wrap up now. It has been a pleasure working with you. The activity is now over.,PROMPT_END
2021-04-22,13:09:40,0,Clem the Climate Policy Wonk,1619111387198,Have a nice day!,PROMPT_END
